id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 11 - Day 2,Gameweek 11 - Day 3,Gameweek 11 - Day 4,Gameweek 11 - Day 5,Gameweek 11 - Day 6,Gameweek 11 - Day 7,Gameweek 12 - Day 1,Gameweek 12 - Day 2,Gameweek 12 - Day 3,Gameweek 12 - Day 4,Gameweek 12 - Day 5,Gameweek 12 - Day 6,Gameweek 12 - Day 7,Gameweek 13 - Day 1,Gameweek 13 - Day 2,Gameweek 13 - Day 3,Gameweek 13 - Day 4,Gameweek 13 - Day 5,Gameweek 13 - Day 6,Gameweek 13 - Day 7
2,Onyeka Okongwu,1,119,2,16.1,10.56,6.0,3.5999999999999996,3.0,-2.1,37.160000000000004,0.0,36.34,0.0,34.81,37.6,0.0,37.6,0.0,40.16,0.0,37.54,0.0,35.66,0.0,35.77,0.0,37.13,0.0,35.1,0.0
3,Jalen Johnson,1,140,2,26.3,13.799999999999999,15.299999999999999,3.0,1.7999999999999998,-4.0,56.199999999999996,0.0,54.66,0.0,52.68,55.8,0.0,55.8,0.0,60.83,0.0,57.28,0.0,53.54,0.0,54.71,0.0,55.28,0.0,53.59,0.0
4,Mouhamed Gueye,1,44,2,3.4,3.12,0.30000000000000004,2.4000000000000004,1.5,-0.4,10.319999999999999,0.0,10.21,0.0,9.56,10.78,0.0,10.78,0.0,11.18,0.0,10.37,0.0,9.96,0.0,9.81,0.0,10.65,0.0,9.52,0.0
6,Keaton Wallace,1,45,1,3.4,1.32,3.1500000000000004,1.2000000000000002,0.30000000000000004,-0.5,8.870000000000001,0.0,8.65,0.0,8.23,8.86,0.0,8.86,0.0,9.66,0.0,9.15,0.0,8.42,0.0,8.68,0.0,8.84,0.0,8.3,0.0
7,Dyson Daniels,1,134,1,13.9,7.8,8.25,4.5,1.2000000000000002,-2.5,33.150000000000006,0.0,32.42,0.0,30.77,33.25,0.0,33.25,0.0,36.01,0.0,33.87,0.0,31.45,0.0,32.27,0.0,33.05,0.0,31.32,0.0
9,Zaccharie Risacher,1,85,2,9.4,3.7199999999999998,2.0999999999999996,3.0,1.2000000000000002,-1.0,18.419999999999998,0.0,18.11,0.0,17.17,18.74,0.0,18.74,0.0,19.95,0.0,18.68,0.0,17.55,0.0,17.76,0.0,18.57,0.0,17.29,0.0
12,Asa Newell,1,50,2,7.4,2.52,1.2000000000000002,0.8999999999999999,1.2000000000000002,-0.8,12.420000000000002,0.0,12.12,0.0,11.74,12.59,0.0,12.59,0.0,13.41,0.0,12.56,0.0,11.91,0.0,11.91,0.0,12.39,0.0,11.71,0.0
15,Luke Kennard,1,85,1,5.4,2.4,3.3000000000000003,1.5,0.0,-0.6,12.000000000000002,0.0,11.75,0.0,11.15,11.94,0.0,11.94,0.0,13.01,0.0,12.26,0.0,11.36,0.0,11.74,0.0,11.91,0.0,11.39,0.0
16,Nickeil Alexander-Walker,1,81,1,22.4,4.68,4.35,3.3000000000000003,1.2000000000000002,-1.9,34.03,0.0,33.31,0.0,32.01,34.14,0.0,34.14,0.0,36.77,0.0,34.59,0.0,32.31,0.0,32.95,0.0,33.82,0.0,32.26,0.0
20,Jaylen Brown,2,136,1,31.3,8.52,8.25,3.3000000000000003,1.7999999999999998,-4.1,49.06999999999999,52.9,0.0,48.06,0.0,45.65,0.0,53.29,0.0,52.04,0.0,50.97,51.64,0.0,47.7,0.0,0.0,46.95,0.0,49.91,0.0
