R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
1  1,Victor Wembanyama,C,SA,11,34.3,26.2,13.0,4.0,1.0,3.6,3.6,12.32
2  1,Nikola Jokic,C,DEN,11,33.9,28.8,13.1,10.9,1.8,0.7,3.0,11.53
3  2,Luka Doncic,"PG,SG",LAL,8,36.6,34.9,9.1,8.9,1.8,0.4,3.9,8.88
4  11,Giannis Antetokounmpo,"PF,C",MIL,10,32.9,33.4,11.9,6.2,0.9,1.3,3.0,8.87
5  4,Scottie Barnes,"SG,SF,PF",TOR,12,32.5,20.2,7.6,5.2,1.5,1.8,1.9,7.44
6  17,Cade Cunningham,"PG,SG",DET,11,37.0,27.5,5.4,9.9,1.4,0.8,3.6,7.13
7  3,Tyrese Maxey,PG,PHI,11,40.4,32.1,4.9,8.3,1.2,0.9,2.5,6.88
8  5,Shai Gilgeous-Alexander,PG,OKC,13,33.9,32.5,5.2,6.6,1.3,1.0,1.7,6.80
9  5,LaMelo Ball,"PG,SG",CHA,6,33.3,23.3,7.8,9.8,1.7,0.2,3.7,6.66
10  11,Alexandre Sarr,C,WAS,12,29.4,18.9,8.6,3.8,0.8,2.3,2.7,6.47
11  24,Alperen Sengün,"PF,C",HOU,10,36.1,22.1,10.2,7.2,1.2,0.7,3.5,6.29
12  4,Walker Kessler,C,UTA,5,30.8,14.4,10.8,3.0,1.4,1.8,3.2,6.22
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
13  47,Evan Mobley,"PF,C",CLE,12,34.0,19.0,8.7,4.2,1.4,1.4,2.3,6.00
14  1,Jalen Johnson,"SF,PF",ATL,11,32.3,21.5,9.5,6.3,1.8,0.3,2.8,5.93
15  18,Josh Giddey,"PG,SG",CHI,9,34.1,21.4,9.7,9.3,1.0,0.3,3.4,5.83
16  10,Kawhi Leonard,"SF,PF",LAC,6,33.5,24.3,5.5,3.5,2.5,0.7,1.8,5.82
17  19,Anthony Davis,"PF,C",DAL,5,29.9,20.8,10.2,2.2,1.6,1.2,2.2,5.77
18  1,Karl-Anthony Towns,"PF,C",NY,11,32.7,20.2,12.6,3.3,1.0,1.0,2.7,5.46
19  46,Stephon Castle,"PG,SG",SA,11,33.1,18.7,6.0,8.0,1.8,0.4,4.0,4.96
20  4,Jalen Duren,C,DET,11,29.0,19.4,12.0,1.6,1.0,1.2,2.5,4.74
21  38,Derrick White,"PG,SG",BOS,13,32.4,15.5,3.7,5.2,1.8,1.2,1.2,4.71
22  12,Austin Reaves,"PG,SG,SF",LAL,9,36.0,28.3,5.1,8.3,1.4,0.0,3.3,4.61
23  16,Donovan Mitchell,"PG,SG",CLE,11,34.0,30.5,4.5,5.5,1.5,0.5,3.3,4.54
24  16,Julius Randle,"PF,C",MIN,11,33.3,25.4,7.2,6.1,1.3,0.3,2.7,4.53
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
25  27,Myles Turner,C,MIL,12,29.1,12.3,6.4,2.0,1.3,2.0,1.5,4.41
26  166,Zion Williamson,"SF,PF,C",NO,5,31.5,22.8,6.8,4.6,2.0,0.2,3.4,4.19
27  11,Jrue Holiday,"PG,SG",POR,11,33.7,17.0,5.4,8.4,1.5,0.3,3.0,4.17
28  49,Paolo Banchero,"PF,C",ORL,12,32.8,21.7,8.7,4.1,0.8,0.9,2.7,3.95
29  18,James Harden,"PG,SG",LAC,10,34.4,23.4,5.5,8.9,0.9,0.3,4.0,3.92
30  118,Pascal Siakam,"PF,C",IND,11,34.9,24.1,7.4,5.3,1.1,0.4,2.6,3.88
31  1,Ryan Kalkbrenner,C,CHA,11,26.6,9.9,6.8,0.5,1.0,2.4,1.8,3.69
32  74,Dyson Daniels,"PG,SG,SF",ATL,13,32.5,8.5,5.6,5.4,2.2,0.5,1.9,3.62
33  13,Kristaps Porzingis,"PF,C",ATL,9,25.8,17.3,5.7,3.7,0.6,1.6,1.1,3.57
34  5,OG Anunoby,"SF,PF",NY,11,33.5,17.1,5.8,2.4,2.1,0.7,2.0,3.56
35  123,Ausar Thompson,"SG,SF,PF",DET,10,29.1,13.9,6.6,3.4,1.8,0.7,1.4,3.53
36  6,Mikal Bridges,"SG,SF,PF",NY,11,34.0,15.6,4.5,4.9,1.5,0.8,0.8,3.52
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
37  51,Amen Thompson,"PG,SG,SF",HOU,10,35.5,17.6,6.1,5.6,1.4,0.5,2.6,3.44
38  43,Rudy Gobert,C,MIN,11,32.0,10.9,10.1,1.5,0.5,1.8,1.5,3.41
39  25,Nicolas Claxton,C,BKN,11,28.9,15.2,7.0,3.7,1.0,1.1,1.4,3.37
