R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,Shai Gilgeous-Alexander,"PG,SG",OKC,14,34.5,0.512(12.2/23.9),0.926(8.1/8.8),2.4,35.0,4.5,6.9,1.3,0.8,1.9,13.02
2,Nikola Jokic,C,DEN,11,38.4,0.554(11.2/20.2),0.747(5.6/7.6),1.4,29.4,13.6,9.4,1.6,0.8,3.5,11.76
3,Tyrese Haliburton,"PG,SG",IND,11,31.7,0.506(7.2/14.2),0.907(2.6/2.9),2.9,19.9,3.8,11.1,2.1,0.3,1.0,9.97
4,Luka Doncic,"PG,SG",LAL,15,36.9,0.433(9.2/21.3),0.811(8.0/9.9),4.4,30.8,8.1,8.3,1.7,0.4,4.5,9.69
5,Jayson Tatum,"SF,PF",BOS,11,36.6,0.464(10.6/22.9),0.876(5.2/5.9),3.4,29.8,8.9,7.1,0.9,0.6,3.6,9.17
6,James Harden,"PG,SG",LAC,15,37.0,0.422(7.0/16.6),0.860(7.8/9.1),3.4,25.2,5.5,9.0,1.3,0.7,3.6,8.82
7,Trae Young,PG,ATL,13,35.2,0.434(7.9/18.2),0.949(7.1/7.5),2.4,25.3,3.3,11.5,1.2,0.0,4.7,8.02
8,Kevin Durant,"SF,PF",PHO,15,36.7,0.521(9.1/17.4),0.874(5.1/5.8),3.3,26.5,6.0,4.5,0.6,1.0,3.5,7.93
9,Stephen Curry,"PG,SG",GS,11,33.0,0.442(7.6/17.1),0.911(5.6/6.1),4.2,24.8,3.9,6.1,1.3,0.4,3.2,7.58
10,Josh Giddey,"PG,SG,SF",CHI,10,34.4,0.490(7.2/14.7),0.770(4.7/6.1),1.6,20.7,9.6,9.2,1.5,0.7,2.9,7.46
11,Mark Williams,C,CHA,12,28.0,0.697(6.5/9.3),0.832(2.1/2.5),0.0,15.1,10.9,3.3,0.9,1.7,1.9,7.33
12,Kristaps Porzingis,"PF,C",BOS,6,28.4,0.555(7.7/13.8),0.833(5.0/6.0),1.8,22.2,8.2,2.3,0.5,1.7,1.7,7.22
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
13,Cade Cunningham,"PG,SG",DET,12,33.8,0.473(9.5/20.1),0.882(5.6/6.3),1.3,25.9,5.6,8.1,1.3,0.7,4.8,6.99
14,Kawhi Leonard,"SG,SF,PF",LAC,13,36.2,0.532(9.7/18.2),0.772(3.4/4.4),2.5,25.2,7.1,3.4,1.8,0.5,1.7,6.84
15,Jamal Murray,"PG,SG",DEN,13,37.7,0.480(8.4/17.5),0.934(4.4/4.7),2.5,23.6,4.0,6.1,1.3,0.4,1.4,6.84
16,Damian Lillard,PG,MIL,10,34.5,0.452(7.1/15.7),0.935(5.8/6.2),3.0,23.0,4.9,5.8,1.3,0.1,2.0,6.80
17,Austin Reaves,"PG,SG",LAL,14,34.4,0.482(7.6/15.9),0.942(4.7/5.0),2.9,22.9,4.9,5.2,1.0,0.5,2.3,6.75
18,Onyeka Okongwu,"PF,C",ATL,14,32.0,0.586(6.4/10.9),0.852(2.1/2.4),1.1,15.9,11.3,2.3,1.2,1.2,1.3,6.69
19,Jalen Brunson,PG,NY,4,39.3,0.489(11.3/23.0),0.840(5.3/6.3),1.8,29.5,4.5,7.3,1.5,0.3,3.3,6.56
20,OG Anunoby,"SF,PF",NY,15,38.1,0.458(7.9/17.2),0.834(3.7/4.5),3.0,22.5,5.1,2.7,1.9,1.0,1.3,6.50
21,Devin Vassell,"SG,SF",SA,16,34.0,0.482(7.4/15.3),0.888(1.5/1.7),3.3,19.6,5.3,3.4,1.6,0.9,1.0,6.40
22,Jakob Poeltl,C,TOR,9,24.2,0.742(7.7/10.3),0.764(1.8/2.3),0.1,17.2,7.9,2.7,1.4,1.1,2.0,6.21
23,Paolo Banchero,"SF,PF",ORL,14,36.5,0.509(10.3/20.2),0.783(7.2/9.2),2.3,30.1,7.7,4.4,1.2,0.4,2.4,6.16
24,Deni Avdija,"SF,PF",POR,12,35.5,0.503(7.0/13.9),0.810(5.7/7.0),2.9,22.6,10.1,5.3,0.8,0.4,3.6,6.13
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
25,Coby White,"PG,SG",CHI,15,36.4,0.492(9.8/19.9),0.882(6.0/6.8),3.2,28.8,4.9,3.9,0.9,0.1,2.3,6.06
26,Desmond Bane,"SG,SF",MEM,15,33.9,0.472(7.8/16.5),0.922(3.2/3.5),2.5,21.3,7.3,5.5,1.2,0.4,2.4,6.02
27,Anthony Edwards,"SG,SF",MIN,13,34.2,0.458(8.5/18.5),0.855(6.4/7.5),3.5,26.8,4.4,4.5,1.1,0.4,2.2,5.93
28,Quentin Grimes,"SG,SF",PHI,14,34.6,0.504(9.5/18.9),0.737(4.2/5.7),3.4,26.6,4.7,4.9,1.9,0.4,3.6,5.87
