R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,Nikola Jokic,C,DEN,10,39.5,36.2,12.0,8.3,1.7,0.8,3.3,10.91
2  18,Giannis Antetokounmpo,"PF,C",MIL,15,35.1,29.7,11.3,7.5,1.3,0.9,2.7,8.89
3  22,Amen Thompson,"PG,SG,SF,PF",HOU,9,31.2,14.4,7.4,5.8,1.9,1.6,1.6,7.53
4  9,Josh Giddey,"PG,SG,SF",CHI,11,32.7,20.1,10.0,9.6,1.6,0.5,3.6,7.44
5  16,Dyson Daniels,"PG,SG,SF",ATL,15,33.4,15.1,6.7,5.1,3.3,0.5,2.4,6.96
6  4,Shai Gilgeous-Alexander,"PG,SG",OKC,14,33.9,31.7,4.4,7.2,1.4,0.9,1.9,6.70
7  4,James Harden,"PG,SG",LAC,15,35.7,23.7,5.5,8.9,1.5,0.9,3.6,6.57
8  2,Tyrese Haliburton,"PG,SG",IND,12,31.4,18.4,3.7,10.9,1.5,0.8,1.3,6.49
9  5,Luka Doncic,"PG,SG",LAL,15,36.9,29.6,8.4,7.5,1.3,0.4,3.6,6.26
10  8,Adem Bona,C,PHI,11,27.3,12.5,8.2,1.1,1.3,2.5,1.8,6.14
11  22,Evan Mobley,"PF,C",CLE,13,31.7,18.2,8.7,3.5,0.9,1.8,2.2,5.73
12  7,Deni Avdija,"SF,PF",POR,13,36.6,26.8,11.2,5.5,1.2,0.4,4.0,5.67
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
13  86,Walker Kessler,C,UTA,10,28.0,8.4,11.4,2.1,0.7,2.2,1.3,5.52
14  6,Kawhi Leonard,"SG,SF,PF",LAC,13,34.3,25.5,6.9,3.2,2.0,0.6,1.5,5.43
15  29,Rudy Gobert,C,MIN,13,31.9,14.5,12.8,1.5,1.2,1.1,0.9,5.12
16  24,LeBron James,"SF,PF",LAL,10,36.2,21.3,6.6,7.5,1.5,0.4,2.6,5.04
17  56,Alperen Sengün,C,HOU,16,32.7,18.8,10.3,4.9,1.0,0.9,2.7,5.03
18  8,Cade Cunningham,"PG,SG",DET,9,33.8,27.1,6.4,7.6,0.9,0.8,4.6,5.03
19  13,Trae Young,PG,ATL,14,35.5,25.7,3.6,11.6,1.4,0.1,4.6,5.02
20  11,OG Anunoby,"SF,PF",NY,15,36.2,24.6,5.1,2.8,1.9,0.9,1.3,4.96
21  14,Ivica Zubac,C,LAC,15,33.3,19.3,12.5,2.9,0.3,1.3,1.5,4.87
22  3,Jayson Tatum,"SF,PF",BOS,11,36.1,26.8,8.1,7.0,0.8,0.5,3.2,4.83
23  6,Onyeka Okongwu,"PF,C",ATL,15,32.5,15.7,10.5,2.5,1.2,1.1,1.5,4.70
24  9,Mark Williams,C,CHA,12,28.7,15.8,11.0,3.1,0.8,1.3,2.2,4.69
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
25  33,Josh Hart,"SG,SF,PF",NY,15,35.9,11.1,8.5,7.0,1.8,0.3,2.1,4.60
26  86,Anthony Davis,"PF,C",DAL,6,28.5,19.7,8.5,2.8,0.8,1.5,2.2,4.58
