id,name,now_cost,team,element_type,status
1,Trae Young,160,1,1,d
2,Clint Capela,119,1,2,i
5,Onyeka Okongwu,97,1,2,a
6,Trent Forrest,50,1,1,u
7,Jalen Johnson,134,1,2,u
8,Garrison Mathews,50,1,1,a
9,Wesley Matthews,50,1,1,u
10,Kobe Bufkin,55,1,1,u
11,Mouhamed Gueye,49,1,2,a
14,Chris Silva,45,1,2,u
15,Vit Krejci,55,1,1,a
16,Dylan Windler,45,1,1,u
17,Jarkel Joiner,45,1,1,u
18,Keaton Wallace,45,1,1,i
19,Brandon Randolph,45,1,1,u
20,Larry Nance Jr.,69,1,2,u
21,Dyson Daniels,86,1,1,a
24,Dominick Barlow,49,1,2,a
25,Nikola Djurisic,45,1,1,u
26,Zaccharie Risacher,83,1,2,a
56,Caris LeVert,113,1,1,a
65,Georges Niang,59,1,2,a
206,Daeqwon Plowden,45,1,1,a
244,Terance Mann,64,1,1,a
394,Jacob Toppin,44,1,2,a
417,Kevon Harris,45,1,1,u
13,Miles Norris,45,2,2,a
27,Jayson Tatum,166,2,2,a
28,Jaylen Brown,138,2,1,a
29,Derrick White,124,2,1,a
30,Al Horford,94,2,2,i
31,Payton Pritchard,79,2,1,i
32,Sam Hauser,63,2,2,a
33,JD Davison,44,2,1,a
34,Luke Kornet,54,2,2,a
35,Jay Scrubb,45,2,1,u
37,Kristaps Porzingis,139,2,2,a
38,Jordan Walsh,43,2,2,a
40,Neemias Queta,53,2,2,a
41,Drew Peterson,43,2,1,a
42,Jrue Holiday,113,2,1,a
43,Nathan Knight,45,2,2,u
45,Xavier Tillman,63,2,2,a
46,Jordan Schakel,45,2,1,u
48,Tristan Enaruna,45,2,2,u
49,Baylor Scheierman,49,2,1,a
114,Torrey Craig,54,2,2,a
398,Dmytro Skapintsev,45,2,2,u
4,De'Andre Hunter,94,3,1,a
53,Darius Garland,123,3,1,a
54,Evan Mobley,135,3,2,a
55,Jarrett Allen,135,3,2,a
57,Ricky Rubio,60,3,1,u
58,Isaac Okoro,74,3,1,a
59,Dean Wade,55,3,2,a
61,Donovan Mitchell,160,3,1,a
62,Sharife Cooper,45,3,1,u
63,Ty Jerome,57,3,1,i
64,Damian Jones,50,3,2,u
66,Sam Merrill,54,3,1,a
67,Max Strus,100,3,1,a
68,Emoni Bates,45,3,2,i
69,Craig Porter,48,3,1,a
70,Tristan Thompson,49,3,2,a
72,Justin Powell,45,3,1,u
73,Zhaire Smith,50,3,1,u
75,Jaylon Tyson,49,3,1,i
76,Luke Travers,44,3,2,a
101,Javonte Green,59,3,1,a
378,Jacob Gilyard,50,3,1,u
728,Jules Bernard,45,3,1,u
824,Darius Brown,45,3,1,u
830,Elijah Hughes,45,3,1,u
833,Nae'Qwan Tomlin,45,3,2,a
77,Dejounte Murray,149,4,1,u
78,Zion Williamson,144,4,2,i
79,CJ McCollum,130,4,1,i
81,Herbert Jones,95,4,2,u
82,Jose Alvarado,59,4,1,a
83,Trey Murphy III,106,4,2,u
85,Jordan Hawkins,53,4,1,d
87,Jeremiah Robinson-Earl,50,4,2,a
88,Devin Cannady,45,4,1,u
89,Kaiser Gates,45,4,2,u
90,Malcolm Hill,45,4,2,u
91,Tevian Jones,45,4,1,u
92,Landers Nolley II,45,4,2,u
93,Jalen Crutcher,45,4,1,u
94,Izaiah Brockington,45,4,1,u
96,Jamal Cain,45,4,2,a
98,Karlo Matkovic,43,4,2,a
99,Yves Missi,55,4,2,a
100,Antonio Reeves,44,4,1,a
191,Lester Quinones,49,4,1,a
257,Mo Bamba,55,4,2,u
555,Brandon Boston Jr.,41,4,1,i
611,Bruce Brown,90,4,2,a
624,Kelly Olynyk,95,4,2,d
696,Adonis Arms,45,4,2,u
791,Keion Brooks Jr.,45,4,2,a
819,Josh Oduro,45,4,2,u
820,Elfrid Payton,45,4,1,a
825,Trhae Mitchell,45,4,1,u
102,DJ Steward,44,5,1,u
104,Nikola Vucevic,139,5,2,a
105,Lonzo Ball,65,5,1,i
106,Coby White,123,5,1,a
107,Ayo Dosunmu,95,5,1,u
108,Patrick Williams,89,5,2,a
109,Dalen Terry,50,5,1,a
110,Carlik Jones,45,5,1,u
112,Jevon Carter,48,5,1,a
115,Onuralp Bitim,45,5,2,u
116,Julian Phillips,45,5,2,a
117,Adama Sanogo,43,5,2,u
118,Max Heidegger,45,5,1,u
120,Jalen Smith,88,5,2,a
121,Chris Duarte,48,5,1,u
122,Josh Giddey,110,5,1,a
123,Kenneth Lofton Jr.,50,5,2,u
124,Matas Buzelis,58,5,2,a
125,Marcus Domask,45,5,1,u
126,E.J. Liddell,43,5,2,i
127,Talen Horton-Tucker,83,5,1,a
154,Emanuel Miller,44,5,2,i
184,Jahmir Young,45,5,1,i
253,Joshua Primo,45,5,1,u
