id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 1 - Day 1,Gameweek 1 - Day 2,Gameweek 1 - Day 3,Gameweek 1 - Day 4,Gameweek 1 - Day 5,Gameweek 1 - Day 6,Gameweek 2 - Day 1,Gameweek 2 - Day 2,Gameweek 2 - Day 3,Gameweek 2 - Day 4,Gameweek 2 - Day 5,Gameweek 2 - Day 6,Gameweek 2 - Day 7,Gameweek 3 - Day 1,Gameweek 3 - Day 2,Gameweek 3 - Day 3,Gameweek 3 - Day 4,Gameweek 3 - Day 5,Gameweek 3 - Day 6,Gameweek 3 - Day 7,Gameweek 4 - Day 1,Gameweek 4 - Day 2,Gameweek 4 - Day 3,Gameweek 4 - Day 4,Gameweek 4 - Day 5,Gameweek 4 - Day 6
1,Trae Young,1,170,1,25.7,3.6,23.2,4.199999999999999,0.30000000000000004,0.0,57.0,0.0,58.53,0.0,50.36,54.24,0.0,47.38,0.0,44.7,0.0,44.17,0.0,43.56,0.0,33.55,0.0,0.0,37.46,37.31,0.0,27.62,0.0,28.79,31.23,0.0,0.0
2,Onyeka Okongwu,1,120,2,15.7,10.5,5.0,3.5999999999999996,3.3000000000000003,0.0,38.099999999999994,0.0,40.3,0.0,34.52,37.08,0.0,31.27,0.0,30.01,0.0,29.55,0.0,29.07,0.0,22.99,0.0,0.0,25.79,24.35,0.0,18.27,0.0,18.78,20.8,0.0,0.0
4,Mouhamed Gueye,1,45,2,5.9,3.6,1.8,1.7999999999999998,3.3000000000000003,0.0,16.400000000000002,0.0,17.76,0.0,14.82,15.94,0.0,13.44,0.0,13.14,0.0,12.56,0.0,12.39,0.0,9.87,0.0,0.0,11.37,10.33,0.0,7.82,0.0,7.98,9.22,0.0,0.0
7,Dyson Daniels,1,135,1,15.1,6.7,10.2,9.899999999999999,1.5,0.0,43.4,0.0,45.89,0.0,39.0,40.91,0.0,35.51,0.0,33.96,0.0,33.06,0.0,33.02,0.0,25.98,0.0,0.0,29.37,28.13,0.0,21.31,0.0,21.55,24.07,0.0,0.0
9,Zaccharie Risacher,1,85,2,15.3,3.7,2.4,1.2000000000000002,1.5,0.0,24.099999999999998,0.0,25.26,0.0,21.81,23.37,0.0,19.82,0.0,18.89,0.0,18.84,0.0,18.48,0.0,14.53,0.0,0.0,16.16,15.44,0.0,11.52,0.0,12.02,13.08,0.0,0.0
13,Kristaps Porzingis,1,115,2,20.9,7.3,5.0,1.2000000000000002,4.199999999999999,0.0,38.60000000000001,0.0,40.7,0.0,34.84,37.67,0.0,31.81,0.0,30.52,0.0,30.11,0.0,29.47,0.0,23.21,0.0,0.0,26.05,24.59,0.0,18.35,0.0,19.12,21.12,0.0,0.0
16,Nickeil Alexander-Walker,1,80,1,10.0,3.8,7.0,1.2000000000000002,1.5,0.0,23.5,0.0,24.47,0.0,20.96,22.71,0.0,19.47,0.0,18.55,0.0,18.25,0.0,17.93,0.0,13.96,0.0,0.0,15.66,15.18,0.0,11.27,0.0,11.73,12.88,0.0,0.0
17,Caleb Houstan,1,45,1,6.4,1.4,1.4,1.7999999999999998,0.30000000000000004,0.0,11.3,0.0,11.89,0.0,10.22,10.75,0.0,9.24,0.0,8.8,0.0,8.72,0.0,8.65,0.0,6.81,0.0,0.0,7.61,7.29,0.0,5.5,0.0,5.64,6.18,0.0,0.0
20,Jaylen Brown,2,135,1,19.2,4.8,7.0,3.3000000000000003,1.2000000000000002,0.0,35.5,0.0,36.9,0.0,33.4,0.0,34.43,29.43,0.0,28.29,0.0,28.36,27.65,0.0,25.18,0.0,24.86,0.0,20.43,0.0,20.43,0.0,18.15,19.02,0.0,0.0,0.0
21,Derrick White,2,125,1,15.4,5.4,12.8,3.0,3.3000000000000003,0.0,39.9,0.0,41.86,0.0,37.56,0.0,38.38,33.19,0.0,31.58,0.0,32.17,31.08,0.0,28.72,0.0,27.98,0.0,22.71,0.0,22.71,0.0,20.59,21.44,0.0,0.0,0.0
